"name","seq"
"django_migrations","22"
"django_admin_log","10"
"django_content_type","9"
"auth_permission","36"
"auth_group","0"
"auth_user","2"
"auth_user_user_permissions","5"
"fashion_cartitem","10"
"fashion_product","7"
